b0/d,w/b,d_g/d_g0,f_c',p,f_y/f_c,V_f,t_p,,
10.4,0.54,1.25,24,1.19%,16.66666667,1,2.270769231,,
10.4,0.54,1.25,24,1.19%,16.66666667,1.5,2.369230769,,
9.853658537,0.4,1.25,47.8,1.23%,10.94142259,0,2.825404492,,
9.853658537,0.4,1.25,48.1,1.23%,10.87318087,0.5,3.366336634,,
9.853658537,0.4,1.25,39.8,1.23%,13.14070352,0.5,3.248007728,,
9.853658537,0.4,1.25,48.1,1.23%,10.87318087,1,4.201883603,,
8.705882353,0.4,1.25,48.2,1.23%,10.85062241,0,2.895248189,,
8.705882353,0.4,1.25,48.9,1.23%,10.69529652,0.5,3.501148207,,
8.705882353,0.4,1.25,40.3,1.23%,12.97766749,0.5,3.137254902,,
8.705882353,0.4,1.25,47,1.23%,11.12765957,1,4.091149974,,
11.17948718,0.175,0.0375,116.48,0.67%,4.593063187,1,7.645259939,,
11.17948718,0.175,0.0375,122.56,0.67%,4.365208877,1.5,8.233356857,,
11.17948718,0.175,0.0375,130.24,0.67%,4.107800983,2,8.586215008,,
11.17948718,0.35,0.296875,38.4,0.67%,13.93229167,0,4.275464597,,
9.479452055,0.45,1.25,48.5,1.76%,8.24742268,0,3.994773933,,
9.479452055,0.45,1.25,47.2,1.76%,8.474576271,1,4.964763639,,
9.479452055,0.173,0.0375,115.8,1.76%,3.454231434,0,4.574788186,,
9.479452055,0.173,0.0375,122.6,1.76%,3.262642741,1,5.616042442,,
9.479452055,0.173,0.0375,127,1.76%,3.149606299,2,7.356085201,,
9.479452055,0.173,0.0375,125.6,1.76%,3.184713376,3,7.607490696,,
9.479452055,0.173,0.0375,127,1.76%,3.149606299,1,7.007680735,,
9.479452055,0.173,0.0375,119,1.76%,3.361344538,1,5.437881067,,
